Induced Current (μA),Frames Taken (1/30 s),Starting Point (cm),Ending Point (cm),0.01*|S-E|/f*30 (m/s), Uncertainty(%)
0.3,18,36.3,28.9,0.123333333333333,47.500184984985
0.3,23,29.7,37,0.0952173913043478,45.0921307127258
0.3,27,37,29,0.0888888888888889,43.7559407407407
0.6,22,30,37,0.0954545454545455,28.8442043290043
0.2,21,36,29,0.1,62.6104380952381
0.4,16,30,35.5,0.103125,40.7424727272727
0.1,22,34.5,29,0.075,112.333381818182
0.5,18,29.8,35.9,0.101666666666667,34.2820488160291
0.4,20,35.7,28.5,0.108,38.0707555555556
0.5,19,29,36.2,0.113684210526316,33.5970713450292
0.5,25,35.2,28.2,0.084,31.0866285714286
0.7,20,29,37,0.12,27.3009142857143
0.3,22,35.1,27.5,0.103636363636364,45.4657582137161
0.5,16,27.6,33.8,0.11625,35.6603612903226
0.2,17,33,26.9,0.107647058823529,64.935643587271
0.6,16,27,34.1,0.133125,32.2452469483568
0.1,21,33,26.7,0.09,112.67393015873
0.6,17,28.2,36.1,0.139411764705882,31.4529016629437
0.3,15,34.1,27.1,0.14,49.7532952380952
0.3,17,27.9,34.9,0.123529411764706,48.1846677871149
2.8,17,34.7,26.6,0.142941176470588,18.3451616142753
0.3,18,27.9,36.2,0.138333333333333,47.4415721552878
0.3,18,36,26.5,0.158333333333333,47.3806970760234
0.5,17,27,36.5,0.167647058823529,34.7009585139319
0.3,21,38.5,27,0.164285714285714,45.7201689440994
0.3,20,27.5,35.5,0.12,46.3485333333333
0.5,24,34.4,27.2,0.09,31.4040888888889
0.3,20,28,35.5,0.1125,46.3818666666667
0.3,23,37.3,27.5,0.127826086956522,44.9523487725525
2.8,17,27.5,36.5,0.158823529411765,18.295778898226
0.2,24,34.2,27.1,0.08875,61.4119136150235
0.4,18,27.9,35.4,0.125,39.1596444444444
0.2,22,34.5,27.5,0.0954545454545455,62.1775376623377
0.3,28,28,34.8,0.0728571428571428,43.5796257703081
0.5,18,34.9,27.8,0.118333333333333,34.1896913928013
0.6,18,28.1,35.5,0.123333333333333,30.8335183183183
0.4,19,34.3,28,0.0994736842105263,38.6764364243943
2.8,16,27.9,34.9,0.13125,19.1580571428571
0.3,21,33,26.7,0.09,46.0072634920635
0.3,18,27.5,34.7,0.12,47.5152
0.3,16,32.5,26.6,0.110625,49.0264994350282
0.7,16,26.8,33.8,0.13125,29.8723428571429
0.3,17,33,26.5,0.114705882352941,48.2286238310709
0.7,18,26.8,34,0.12,28.4675809523809
0.3,17,33.2,26.5,0.118235294117647,48.2102541410594
0.4,21,26.7,34.3,0.108571428571429,37.5653253132832
0.4,16,33.4,26.4,0.13125,40.5866285714286
0.3,27,26.7,34.8,0.09,43.7497679012346
0.5,21,37.5,27,0.15,32.4199619047619
0.3,19,27.6,36.6,0.142105263157895,46.8192935672515
0.6,20,36.6,27.4,0.138,29.6166492753623
0.2,23,27.6,37,0.122608695652174,61.6363840888067
0.5,24,35,27.5,0.09375,31.3818666666667
0.5,20,27,36.1,0.1365,32.9547604395604
0.2,20,34.4,27.9,0.0975,63.1305846153846
0.4,20,28,34,0.09,38.1818666666667
0.1,25,34,27,0.084,111.086628571429
0.3,21,27.5,34.7,0.102857142857143,45.9278984126984
0.2,23,33.8,27,0.088695652173913,61.7990874680307
0.5,20,27.8,36.5,0.1305,32.9749701149425
0.3,21,34.4,27.4,0.1,45.9437714285714
0.5,15,27.5,35.5,0.16,36.3485333333333
0.4,23,33.6,26.9,0.0873913043478261,36.8078670992862
0.5,17,27,34.7,0.135882352941177,34.7993864018335
0.4,18,33.8,26.8,0.116666666666667,39.1977396825397
0.6,19,27,35.4,0.132631578947368,30.1843729323308
0.1,25,33.2,26.8,0.0768,111.1402
0.6,17,27,34,0.123529411764706,31.5180011204482
0.1,22,33.2,26.7,0.0886363636363637,112.221493706294
0.6,18,27.1,34.5,0.123333333333333,30.8335183183183
0.6,18,32.8,26.7,0.101666666666667,30.9487154826958
0.7,20,27,36.3,0.1395,27.231021812596
0.1,21,33,26.8,0.0885714285714286,112.684170814132
0.3,23,27,34.8,0.101739130434783,45.0570060200669
0.5,18,35,26.8,0.136666666666667,34.1141159891599
0.6,17,26.8,33.8,0.123529411764706,31.5180011204482
0.5,18,32,26.5,0.0916666666666667,34.3535838383838
0.3,21,26.7,34.4,0.11,45.8918233766234
0.5,16,32.5,26.1,0.12,35.6402
3.3,17,26,34.4,0.148235294117647,17.7863993888464
0.2,23,34.5,26,0.110869565217391,61.6814404092072
3,16,26,34.3,0.155625,18.8304610441767
0.4,17,33.2,26.2,0.123529411764706,39.8513344537815
3.5,16,26.5,34.8,0.155625,18.3542705679862
0.4,15,33,26.5,0.13,41.4639179487179
0.5,16,26.4,33.5,0.133125,35.5785802816901
0.3,18,33,26.7,0.105,47.5945650793651
0.4,22,26.8,34.5,0.105,37.1255896103896
0.5,18,33.5,26.5,0.116666666666667,34.1977396825397
0.3,18,26.5,38,0.191666666666667,47.307470531401
0.6,18,35.5,26.5,0.15,30.7374222222222
0.3,20,33.5,27,0.0975,46.463917948718
0.5,20,26.8,36.2,0.141,32.9407319148936
0.4,21,34,26.4,0.108571428571429,37.5653253132832
0.5,17,26.5,38,0.202941176470588,34.6277319693095
0.4,17,34,26.3,0.135882352941176,39.7993864018335
0.5,17,27,37.7,0.188823529411765,34.6537376580539
0.3,23,34.5,26.2,0.108260869565217,45.0261132180898
0.6,14,26.2,38,0.252857142857143,33.8065640032284
