Induced Current (μA),Frames Taken (1/30 s),Starting Point (cm),Ending Point (cm),0.01*|S-E|/f*30 (m/s) 
0.3±35.833%,18.0±11.111%,36.3±0.551%,28.9±0.692%,0.123±48.187%
0.3±35.833%,23.0±8.696%,29.7±0.673%,37.0±0.541%,0.095±45.743%
0.3±35.833%,27.0±7.407%,37.0±0.541%,29.0±0.69%,0.089±44.471%
0.6±19.167%,22.0±9.091%,30.0±0.667%,37.0±0.541%,0.095±29.466%
0.2±52.5%,21.0±9.524%,36.0±0.556%,29.0±0.69%,0.1±63.27%
0.4±27.5%,16.0±12.5%,30.0±0.667%,35.5±0.563%,0.103±41.23%
0.1±102.5%,22.0±9.091%,34.5±0.58%,29.0±0.69%,0.075±112.861%
0.5±22.5%,18.0±11.111%,29.8±0.671%,35.9±0.557%,0.102±34.839%
0.4±27.5%,20.0±10.0%,35.7±0.56%,28.5±0.702%,0.108±38.762%
0.5±22.5%,19.0±10.526%,29.0±0.69%,36.2±0.552%,0.114±34.268%
0.5±22.5%,25.0±8.0%,35.2±0.568%,28.2±0.709%,0.084±31.777%
0.7±16.786%,20.0±10.0%,29.0±0.69%,37.0±0.541%,0.12±28.017%
0.3±35.833%,22.0±9.091%,35.1±0.57%,27.5±0.727%,0.104±46.221%
0.5±22.5%,16.0±12.5%,27.6±0.725%,33.8±0.592%,0.116±36.317%
0.2±52.5%,17.0±11.765%,33.0±0.606%,26.9±0.743%,0.108±65.614%
0.6±19.167%,16.0±12.5%,27.0±0.741%,34.1±0.587%,0.133±32.995%
0.1±102.5%,21.0±9.524%,33.0±0.606%,26.7±0.749%,0.09±113.379%
0.6±19.167%,17.0±11.765%,28.2±0.709%,36.1±0.554%,0.139±32.195%
0.3±35.833%,15.0±13.333%,34.1±0.587%,27.1±0.738%,0.14±50.491%
0.3±35.833%,17.0±11.765%,27.9±0.717%,34.9±0.573%,0.124±48.888%
2.8±6.071%,17.0±11.765%,34.7±0.576%,26.6±0.752%,0.143±19.164%
0.3±35.833%,18.0±11.111%,27.9±0.717%,36.2±0.552%,0.138±48.213%
0.3±35.833%,18.0±11.111%,36.0±0.556%,26.5±0.755%,0.158±48.255%
0.5±22.5%,17.0±11.765%,27.0±0.741%,36.5±0.548%,0.168±35.554%
0.3±35.833%,21.0±9.524%,38.5±0.519%,27.0±0.741%,0.164±46.617%
0.3±35.833%,20.0±10.0%,27.5±0.727%,35.5±0.563%,0.12±47.123%
0.5±22.5%,24.0±8.333%,34.4±0.581%,27.2±0.735%,0.09±32.149%
0.3±35.833%,20.0±10.0%,28.0±0.714%,35.5±0.563%,0.113±47.11%
0.3±35.833%,23.0±8.696%,37.3±0.536%,27.5±0.727%,0.128±45.792%
2.8±6.071%,17.0±11.765%,27.5±0.727%,36.5±0.548%,0.159±19.111%
0.2±52.5%,24.0±8.333%,34.2±0.585%,27.1±0.738%,0.089±62.156%
0.4±27.5%,18.0±11.111%,27.9±0.717%,35.4±0.565%,0.125±39.893%
0.2±52.5%,22.0±9.091%,34.5±0.58%,27.5±0.727%,0.095±62.898%
0.3±35.833%,28.0±7.143%,28.0±0.714%,34.8±0.575%,0.073±44.265%
0.5±22.5%,18.0±11.111%,34.9±0.573%,27.8±0.719%,0.118±34.903%
0.6±19.167%,18.0±11.111%,28.1±0.712%,35.5±0.563%,0.123±31.553%
0.4±27.5%,19.0±10.526%,34.3±0.583%,28.0±0.714%,0.099±39.323%
2.8±6.071%,16.0±12.5%,27.9±0.717%,34.9±0.573%,0.131±19.861%
0.3±35.833%,21.0±9.524%,33.0±0.606%,26.7±0.749%,0.09±46.712%
0.3±35.833%,18.0±11.111%,27.5±0.727%,34.7±0.576%,0.12±48.247%
0.3±35.833%,16.0±12.5%,32.5±0.615%,26.6±0.752%,0.111±49.7%
0.7±16.786%,16.0±12.5%,26.8±0.746%,33.8±0.592%,0.131±30.624%
0.3±35.833%,17.0±11.765%,33.0±0.606%,26.5±0.755%,0.115±48.959%
0.7±16.786%,18.0±11.111%,26.8±0.746%,34.0±0.588%,0.12±29.231%
0.3±35.833%,17.0±11.765%,33.2±0.602%,26.5±0.755%,0.118±48.955%
